movieId,tag
4106,"drugs,kingpin,mexican standoff,modern western,neo-noir,organized crime,robbery,texas,texas ranger,violence,Betamax"
4107,"dysfunctional family,grandparent grandchild relationship,hotel,parent child relationship,video surveillance,videotape"
4108,"alcohol,bronx, new york city,city,hate,love,new york,prison,rape,theft,violence,DVD-Video,crime,Independent Spirit Award,quirky,understated,less than 300 ratings"
4109,"New World Pictures,based on a book,Jeffrey Bloom,Betamax,bad adaptation,based on a book,Kristy Swanson,Christopher Young score,Louise Fletcher"
4110,"agent,cold war,espionage,spy"
4111,"cemetery,soldier,vietnam veteran,vietnam war,washington d.c.,Betamax,2020 relook,Anjelica Huston,D. B. Sweeney,Dean Stockwell,Francis Ford Coppola,James Caan,James Earl Jones,Mary Stuart Masterson,Vietnam War,Francis Ford Coppola"
4112,"Betamax,Booring"
4113,"based on play or musical,based on a play,Paul Newman,author:Tennessee Williams,Tennessee Williams,John Malkovich"
4114,"VHS,less than 300 ratings"
4115,"delaware,disguise,high school,witness protection,youth,Betamax,crying"
4116,"black people,ethnic stereotype,actors,directorial debut,movie business,Robert Townsend,Betamax,movie business,Los Angeles"
4117,"1940s,bomb shelter,children in wartime,homefront,london england,wartime,Oscar Nominee: Best Picture,Oscar Nominee: Best Picture 1987,England,London,World War II,John Boorman,Betamax,CLV,Seen 2009,World War II"
4118,"boat,chase,girlfriend,rescue,smuggling,Betamax"
4119,"small town,train accident,Bill Forsyth,Betamax"
4120,"beach,california,nerd,pact with the devil,sale of soul,teen movie,CLV,devil,muscle,nerd,transformation"
4121,"blood,experiment,shrinking,Katso Sanna!,Dennis Quaid,Martin Short,Meg Ryan,80's cult movie,Joe Dante,Martin Short,miniaturization,shrinking,trapped in a human body,Joe Dante,70mm,BD-R,Spherical Blow-Up,fran,Can't remember,seen,miniaturization,Spherical Blow-Up,trapped in a human body,80's cult movie,miniaturization,trapped in a human body,miniaturization,shrinking,trapped in a human body,dated,Dennis Quaid,hypochondriac,Martin Short,Meg Ryan,miniaturization,trapped in a human body"
4122,"alcoholism,depression era,homeless,tragic,tragic,Betamax,prospect preferred,tragic,Jack Nicholson,great depression"
4123,"beautiful woman,escape,sahara,singer,wilderness,woman director,Betamax,CLV"
4124,"animal attack,bahamas,banana boat,caribbean,christmas,dying and death,great white shark,revenge,sequel,shark,shark attack,underwater,Awful...just awful,franchise,imdb bottom 100,shark,franchise,Michael Caine,Awful...just awful,ridiculous,Mario Van Peebles gets eaten,shark,shark vs plane,so bad it's good,Bahamas,franchise,Mario Van Peebles gets eaten,Michael Caine,not enough blood,sequel,shark,shark vs plane,underwater,ridiculous,Betamax,Awful...just awful,christmas,great white shark,no rec?,franchise,ridiculous,shark,impossibly bad plot and amazingly stupid characters,the worst movie i've ever seen,ridiculous,shark"
4125,"spy,unwatchable,Golden Raspberry (Worst Actor),Golden Raspberry (Worst Picture),imdb bottom 100"
4126,"Brett Easton Ellis,beverly hills,decadence,hedonism,los angeles,self-destruction,based on a book,Brett Easton Ellis,Christmas,Betamax,Robert Downey Jr.,Robert Downey Jr.,based on a book,drugs,friendship,Robert Downey Jr.,after school special,decadance,drugs,visually appealing,weak plot"
4127,"adult as a child,body-swap,child as an adult,childbirth,doctor,high school,high school friends,remake,role reversal,easily confused with other movie(s) (title),Betamax"
4128,"amusement park,boardwalk,comic book,New World Pictures,parent child relationship,single,small town,street gang,vampire,1980s,adolescence,amusement park,comics,dogs,flying,grandfather,mother-son relationship,motorcycle,stuffed animals,cult classic,horror,cult classic,siblings,vampires,cult classic,vampires,1980s,vampires,1980s,adolescence,brother-brother relationship,vampires,So bad it's good,vampires,cult classic,Joel Schumacher,cinematographer:Michael Chapman,70mm,Anamorphic Blow-Up,CLV,vampires,cult classic,camp,so bad it's good,horror,1980s,cult classic,cult film,cult classic,cult classic,cult film,Corey Feldman,Corey Haim,Dianne Wiest,Kiefer Sutherland,vampires,vampires,adolescence,horror,Kiefer Sutherland,Corey Feldman,Corey Haim,Dianne Wiest,Kiefer Sutherland,vampire,vampires,cute boys,Kiefer Sutherland,Tumey's DVDs,cult classic, The Lost Boys Series,vampires,Kiefer Sutherland,So bad it's good,vampires,cult classic,cult classic,DVD,1980s,adolescence,brothers,cult film,horror,small town,teenagers,vampire,vampires,Too 80s,cult film,vampires,cult classic,1980s,adolescence,brothers,comics,cult film,motorcycle,siblings,small town,vampire,vampires,cult classic,vampires"
4129,"heaven,Betamax,CLV,angel,heaven,reincarnation,romance,SUPERNATURAL ROMANCE"
4130,"fairy godmother,maid,party,weird couple,wish,woman director,switching places,Betamax"
4131,"woman director,androids,Betamax,DVD-RAM,John Malkovich"
4132,"department store,mannequin,new love,puppet,romantic comedy,teenager,transformation,window dresser,Andrew McCarthy,Michael Gottlieb,Can't remember,80's cheese,80's,80's cheese,Andrew McCarthy,mannequin,Michael Gottlieb,scantily clad female,security guard,window dresser"
4133,"Dolph Lundgren,aftercreditsstinger,hero,key,saving the world,skeleton,supernatural powers,sword and planet,time travel,wretch,on dvr,Bill Conti,based on a TV show,campy,he-man,skeletor,whipping,80s nostalgia,Dolph Lundgren,Frank Langella,80s nostalgia,campy,Frank Langella,muscle,skeletor,star wars ripoff,80s nostalgia,based on a TV show,Based on a TV show?,campy,Dolph Lundgren,he-man,He-Man connection,muscle,skeletor,Gary Goddard,Dolph Lundgren,Based on a TV show?,Betamax,make up,Can't remember,Friday night movie,He-Man connection,Can't remember,80s nostalgia,he-man,skeletor,whipping,Menahem Golan,Nostalgia Critic,Dolph Lundgren,good special effects,he-man,riding Star Wars' coattails,80s nostalgia,he-man,muscle,skeletor"
4134,comedy
4135,"dracula,frankenstein's monster,gill-man,mummy,sea monster,wolfman,monster,bullying,immature,vulgar language,80's slang,Frankenstein's monster,monster,Monsters,vampires,werewolves,80s,funny,Monsters,vampires,80s,funny,Horror,Monsters,Rudy,Fred Dekker,Betamax,Can't remember,80's slang,Ashley Bank,Frankenstein's monster,vampires,Van Helsing,werewolves"
4136,Pat O'Connor
4137,"boarding school,boyfriend girlfriend,Betamax,teen"
4138,"demon,Betamax"
4139,"car thief,rookie cop,Betamax,youtube"
4140,"surfing,surfing"
4141,"models,stalking,supermodel,Freddie Prinze Jr.,Freddie Prinze Jr.,Mark Waters,Mark Waters,naive,models,neighbors,secret agent"
4142,"christian film,the rapture,propaganda,apocalypse,based on a book,Biblical,Christianity,propaganda,religion,christian,Kirk Cameron,acting,based on a book,bible,christianity,dialogue,God,Jesus,religion,Salvation,script,storytelling,propaganda,christian,adapted from:book series,Jesus freaks,christian,apocalypse,bible,Biblical,christian,christianity,Jesus,Salvation,christian,christian,religious,propaganda,Christian wishful thinking,rapture,propaganda,evangelical christian trash,propaganda"
4143,"mobbing,revenge,serial killer,success,valentine's day,violence against women,Jamie Blanks,horror,slasher,teen"
4144,"atmospheric,loneliness,melancholy,moody,music,loneliness,love affair,music,atmospheric,elegant,melancholy,moody,nocturnal,stylized,understated,1960s,adultery,author,Criterion,deceived husband,extramarital affair,forbidden love,hong kong,lovesickness,marriage crisis,married couple,martial arts,neighbor,newspaper,secret love,shanghai,singapore,wife husband relationship,melancholic,music,atmospheric,elegant,intimate,loneliness,melancholic,melancholy,moody,music,Art Direction,atmospheric,bittersweet,costumes,dreamy,heartbreaking,Hong Kong,loneliness,melancholy,stylized,visually appealing,visually stunning,Wong Kar Wai,authentic,Fire King Jadite,Hong Kong,loneliness,plot,slow-motion,soundtrack,moody,too slow,understated,Wong Kar Wai,apartment,costumes,memasa's movies,moody,nocturnal,retro,Slow moving but a beautie,watch Days of Being Willd first,adultery,Art Direction,atmospheric,costumes,desire,elegant,Great Acting,heartbreaking,intimate,loneliness,longing,love affair,masterpiece,music,Psychological,second chances,visually appealing,visually stunning,1960s,adultery,Hong Kong,atmospheric,confusing,loneliness,melancholic,moody,music,stylized,PG,bittersweet,dreamy,romantic,affair,desire,soundtrack,stylized,wong kar wai,melancholic,1960s,adultery,atmospheric,elegant,Hong Kong,intimate,loneliness,love triangles,melancholic,melancholy,music,neighbors,nocturnal,soundtrack,stylized,Tony Leung,too slow,understated,visually stunning,Wong Kar Wai,Wong Kar-wai,atmospheric,elegant,visually stunning,atmospheric,melancholic,music,atmospheric,loneliness,melancholic,melancholy,moody,visually stunning,atmospheric,melancholic,Wong Kar Wai,atmospheric,Hong Kong,melancholic,melancholy,moody,soundtrack,visually stunning,atmospheric,loneliness,melancholy,moody,atmospheric,melancholy,too slow,melancholic,atmospheric,loneliness,long takes,longing,love,love triangles,stylized,Wong Kar Wai,melancholic,melancholic,Art Direction,art house,Criterion,indie,intimate,loneliness,longing,soundtrack,understated,visually appealing,atmospheric,loneliness,melancholic,music,Wong Kar Wai,elegant,melancholic,stylized,understated,Criterion,Wong Kar-wai,Wong Kar-wai,adultery,intimate,melancholy,music,understated,BD-R,BD-Video,Chinese,100 Essential Female Performances,love affair,moody,music,Wong Kar Wai,atmospheric,masterpiece,music,soundtrack,stylized,Tony Leung,understated,visually stunning,Wong Kar-wai,1960s,atmospheric,nocturnal,1960s,adultery,affair,Art Direction,atmospheric,authentic,Beautiful,Christopher Doyle,costumes,Cute,desire,elegant,Hong Kong,intimate,loneliness,longing,love,love affair,love triangles,Maggie Cheung,masterpiece,melancholic,melancholy,moody,music,nocturnal,Psychological,retro,soundtrack,Strange,stylized,Tony Leung,understated,Unique,visually appealing,visually stunning,Wong Kar Wai,Wong Kar-wai,atmospheric,loneliness,melancholic,moody,stylized,100 Essential Female Performances,facebook rec,vday,elegant,loneliness,stylized,understated,atmospheric,elegant,melancholy,stylized,1960s,atmospheric,elegant,Hong Kong,loneliness,melancholic,moody,music,soundtrack,foreign,Watched 2008,melancholic,atmospheric,bittersweet,costumes,Hong Kong,loneliness,music,Wong Kar Wai,intimate,1960s,Art Direction,atmospheric,elegant,stylized,visually appealing,visually stunning,Wong Kar Wai,atmospheric,melancholic,stylized,atmospheric,love triangles,masterpiece,melancholic,music,soundtrack,stylized,visually stunning,Wong Kar Wai,Wong Kar-wai,elegant,Hong Kong,loneliness,Maggie Cheung,melancholy,Tumey's DVDs,elegant,heartbreaking,masterpiece,second chances,stylized,melancholic,Criterion,3,Wong Kar Wai,melancholic,atmospheric,elegant,melancholic,music,loneliness,Wong Kar-wai,melancholic,atmospheric,Beautiful,bittersweet,dreamy,elegant,heartbreaking,intimate,loneliness,long takes,longing,melancholic,melancholy,moody,nocturnal,romantic,Unique,visually appealing,visually stunning,Chinese,Criterion,love affair,stylized,Christopher Doyle,Maggie Cheung,Tony Leung,Wong Kar Wai,Wong Kar Wai,atmospheric,elegant,Great Acting,loneliness,Maggie Cheung,melancholy,music,stylized,Tony Leung,Wong Kar Wai,atmospheric,elegant,melancholic,melancholy,music,Wong Kar Wai,Art Direction,atmospheric,Maggie Cheung,masterpiece,melancholy,stylized,Tony Leung,visually appealing,visually stunning,100 Essential Female Performances,1960s,adultery,Angkor Wat,atmospheric,Criterion,Hong Kong,love affair,melancholic,MoviePig Top Pick,neighbors,Seen 2006,TIFF Top 30 of the 2000s,1960s,adultery,atmospheric,elegant,Hong Kong,loneliness,melancholy,moody,neighbors,nocturnal,stylized,Wong Kar Wai"
4146,"book,confidence,drugs,fbi agent,friendship,hotel,insanity,junkie,los angeles,good acting,soundtrack,action,drama,special,boring,boring plot,cheesy,Milla Jovovich,no plot,no point,slow,slow paced,DVD-Video,4,Milla Jovovich"
4147,"coming of age,gay,homosexuality,sexuality,best friend,coming of age,coming out,first time,gay,sea,summer vacation,coming of age,homosexuality,rape,SEXUAL AWAKENING,coming of age,Friendship,gay,LGBTQ+,sexuality,coming of age,gay,Gay Lead Character,homosexual undertones,homosexuality,SEXUAL AWAKENING,sexuality,Spanish,coming of age,firendship,gay,homosexuality,sexuality,Spanish"
4148,"psychology,atmospheric,CANNIBALS,disturbing,goth,HAUNTED BY THE PAST,menacing,SERIAL KILLERS,slick,somber,stylized,WOMEN IN JEOPARDY,aftercreditsstinger,brain,fbi agent,serial killer,suspense,venice,Anthony Hopkins,atmospheric,based on a book,cannibalism,David Mamet,serial killer,classic,killer,psychology,Anthony Hopkins,Julianne Moore,Ridley Scott,Anthony Hopkins,Hannibal Lecter,cannibalism,crime,revenge,atmospheric,cannibalism,Hannibal Lecter,psychology,Ridley Scott,serial killer,torture,Anthony Hopkins,psychology,Anthony Hopkins,Hannibal Lecter,character:Hannibal Lecter,prequel to:Hannibal,psychiatrist as protagonist,sequel to:Silence Of The Lambs,serial killer,Anthony Hopkins,based on a book,serial killer,torture,Anthony Hopkins,cannibalism,crime,Julianne Moore,psychology,Ray Liotta,Ridley Scott,serial killer,Thomas Harris,torture,lackluster sequel,disgusting,Gary Oldman,Hannibal Lecter,Anthony Hopkins,atmospheric,cannibalism,Hannibal Lecter,psychology,serial killer,cannibalism,Intriguing,psychology,Reflective,revenge,serial killer,Anthony Hopkins,atmospheric,David Mamet,Gary Oldman,Hannibal Lecter,Julianne Moore,Ridley Scott,serial killer,btaege,owned,THEATER,VHS,anthony hopkins,gary oldman,julianne moore,ridley scott,serial killer,thomas harris,Anthony Hopkins,psychology,atmospheric,Hannibal Lecter,serial killer,Anthony Hopkins,Gary Oldman,Julianne Moore,My DVDs,anthony hopkins,julianne moore,atmospheric,disturbing,revenge,serial killer,stylized,based on a book,cannibalism,crime,cruel,Hannibal Lecter,psychology,serial killer,Julianne Moore,psychology,torture,cannibalism,Hannibal Lecter,serial killer,atmospheric,cannibalism,sequel,torture,cannibalism,CANNIBALS,torture,serial killer,Gary Oldman,Julianne Moore,atmospheric,crime,psychology,serial killer,Hannibal Lecter Series,atmospheric,psychology,Anthony Hopkins,based on a book,CANNIBALS,Clarice Starling,David Mamet,Franchise,Gary Oldman,Hannibal Lecter,Julianne Moore,Ridley Scott,thomas harris,Anthony Hopkins,Ridley Scott,3,atmospheric,based on a book,cannibalism,disturbing,italy,psychology,revenge,serial killer,torture,Anthony Hopkins,Gary Oldman,Hannibal Lecter,HAUNTED BY THE PAST,psychology,Ridley Scott,serial killer,stylized,cruel,florence,atmospheric,cannibalism,psychology,Anthony Hopkins,Gary Oldman,Ridley Scott,italy,Hannibal Lecter,Anthony Hopkins,disturbing,italy,psychology,serial killer,cannibalism,mmm... brains...,prequel to:Hannibal,better than the book,Anthony Hopkins,cannibalism,psychology,serial killer"
4149,"comedy,product placement,romance,USA,dark comedy,duringcreditsstinger,harassment,male friendship,relationship sabotage,nudity (topless),Jack Black,silly,Dennis Dugan,Nudity (Rear),Nudity (Topless),Jack Black"
4151,"Great,cheating,extramarital affair,infidelity,learning and teaching,lover,partnership,relationship,staging,teachers and students,theatre milieu,theatre play,unhappiness,woman director,Agnès Jaoui,Best of Rotten Tomatoes: All Time,funny,Jean-Pierre Bacri,funny,good,AgnÃ¨s Jaoui,funny,Great,Jean-Pierre Bacri,warm"
4152,"cook,france,prince,Uma Thurman,chefs,costume drama,France,Louis XIV,Gerard Depardieu,chefs,costume drama,France,GÃ©rard Depardieu,Uma Thurman"
4153,"rip off of ""Heaven can Wait"",rags to riches,reincarnation,remake,switching places,afterlife,black humor,comedy,Death,Double standards,kindness,love,Race,rags to riches,reincarnation,Romance,second chance,Seen 2019,seen more than once,sincerity,stand-up comedy,switching places,Chris Weitz,ghosts/afterlife,remakeOf:Here Comes Mr. Jordan,chris rock,ghosts/afterlife,reincarnation,switching places"
4154,"based on tv series,classmates,elementary school,friends,holiday,recess,summer,based on a cartoon,Disney"
4155,"dogsitter,workaholic,drama,love,twist ending,Charlize Theron,Keanu Reeves,San Francisco,Charlize Theron,drama,Keanu Reeves,love,Charlize Theron,cliche,Keanu Reeves,sad,drama,love,sad,San Francisco,Charlize Theron,Keanu Reeves,Charlize Theron,cliche,Keanu Reeves,Pat O'Connor,twist ending,sad,Keanu Reeves,love,Keanu Reeves"
4156,"duringcreditsstinger,espionage,protagonist is teacher"
4157,"bad acting,low budget,racial stereotypes,weak ending,weak plot"
4158,"aftercreditsstinger,horniness agent,organ donation,parallel world,weird,Henry Selick,Worst movie ever!"
4159,"betrayal,casino,death,disguise,duringcreditsstinger,elvis,kidnapping,mass murder,prison,robbery,submachine gun,trial,not to be taken seriously,Demian Lichtenstein,Kevin Costner,R,sexuality,Christian Slater,Kevin Costner,Kurt Russell,Elvis iconography,Kevin Costner"
4160,"19th century,execution,fisherman,france,island,love,murder,revenge,19th century,captain,colonial power,compassionate,conscience,convicts,correctional treatment,elegant,ethical,expiation,government,horses,husband-wife relationship,island,Juliette Binoche and Daniel Auteuil also together in Hidden (a.k.a. Cache) (2005),legal system,library vhs,my shopping list,sailing ships,Saint Pierre and Miquelon,solidarity,transformation,village,widows/widowers,Patrice Leconte"
4161,"flashback,obsession over one object,kidnapping,pistol,missing gun,road movie,comedy,Crime,fate,Mexico,director: Gore Verbinski,Bob Balaban,J.K. Simmons,James Gandolfini,Julia Roberts,Gore Verbinski,Brad Pitt,Julia Roberts,Brad Pitt,Julia Roberts,Gfei own it,Julia Roberts,Brad Pitt,Brad Pitt,Brad Pitt,avi,Brad Pitt,dog,gay men,Gene Hackman,gun,James Gandolfini,Julia Roberts,Las Vegas,Mexico,unstereotypical gay man,Brad Pitt,Brad Pitt,Julia Roberts"
4162,dog
4163,"christian film,sport"
4164,"woman director,Samuel L. Jackson,Kasi Lemmons,Samuel L.Jackson,Samuel L. Jackson"
4165,love triangle
4166,"reality TV,satire,television,Futuristmovies.com,comedy thriller,dark satire,disturbing,enjoyable,makes you think,media satire,violent,Daniel Minahan,television,reality TV"
4167,"airport,criminal,death,detective,fear,new york,new york city,news report,nypd,paranoia,police,police detective,prison,prisoner,revenge,russian,video,video camera,violence,nudity (topless),John Herzfeld,humorous,Nudity (Topless),suspense,violence,Nudity (Topless)"
4168,"Ben Foster,Kirsten Dunst,Melissa Sagemiller,Shakespeare,falling in love,high school,theatre group,theatre play,Shakespeare,Kirsten Dunst,Ben Foster,Kirsten Dunst,comedy,Kirsten Dunst,really awful british accent!,Shane West"
4169,"own,independent film,alan rickman,rachel griffiths,alan rickman,British,british comedy,dark comedy,Josh Hartnett,Bill Nighy,Heidi Klum,Hugh Bonneville,Josh Hartnett,Rachel Griffiths"
4171,"woman director,Africa,apartheid,racism,segregation,South Africa,less than 300 ratings,Sundance award winner,Sundance Grand Jury Prize,Sundance Grand Jury Prize: Documentary,Sundance Grand Jury Prize: Documentary 2000,NOT Eugene O'Neill - S. Africa"
4172,simon magus
4173,"less than 300 ratings,choir,kleptomaniac,panis angelicus,singer"
4174,"1910s,1940s,baltimore,bar mitvah,immigrant,jew,rabbi,synagogue,easily confused with other movie(s) (title),entrepreneurs,FAMILY GATHERINGS,Fourth of July,immigrant experience,immigrants,jewish family,salespeople,television,Thanksgiving,immigrants,Barry Levinson,covers a lifespan,Jewish identity,BD-R,ontoleptic,jewish family,Jewish identity,Armin Mueller-Stahl,Barry Levinson"
4175,"Criterion,independent film,Criterion,Steven Soderbergh,one man show."
4176,"Akira Kurosawa,Criterion,DVD-Video,Doesn't Translate Well - Still Pretty Good,Akira Kurosawa,Japan"
4177,"death,detective,movie star,murder mystery"
4178,"drifter,great depression,mentally impaired,based on a book,John Steinbeck,humane,Lewis Milestone,adapted from:book,author:Steinbeck,BD-R,based on a book,home of their own,rabbits,vagabond,1939,based on a book,Black and White"
4179,"crime,prostitution,Hector Babenco,sexual assault"
4180,"New World Pictures,woman director,Betamax,girls in prison,spoof,sybil danning,wendy o williams"
4181,"blackmail,music video,BD-R,movie business,movie business"
4182,"dance,gang,gangster,New World Pictures,teenager,kim richards"
4183,"car mechanic,ex-con,gossip,long island,Adrienne Shelly,Hal Hartley,honest,independent film,Long Island,New York,Robert John Burke,acting,comedy,honest,idea,off-beat comedy,witty,entirely dialogue,Hal Hartley,DVD-Video,Adrienne Shelly,comedy,off-beat comedy,independent film,Adrienne Shelly,Hal Hartley,Long Island,New York"
4184,"bishop,christmas,holiday,angel,Christmas,classic,Christmas,Henry Koster,adapted from:book,adultery,angelic intervention,animal:dog,Bechdel Test:Pass (barely),ice skating,notable:taxi driver (scene),religion:Xian,setting:NYC,Xmas theme,BD-R,SUPERNATURAL ROMANCE,angel,bishop,Christmas,classic,marriage,adultery,amnesia,angel,angelic intervention,bishop,Cary Grant,Christian adultery,Christmas,David Niven,ice skating,Jewish director,marriage,rich old woman,SUPERNATURAL ROMANCE,The Bishop's Wife"
4185,"back stage,concert,elvis presley,70mm,BD-R"
4186,"american football,brother-in-law,cinematographer,ex-wife,fortune cookie,honesty,insurance fraud,shadowing,usa,wheelchair,insurance fraud,Walter Matthau,Jack Lemmon,Walter Matthau,Billy Wilder,starring:Jack Lemmon&Walter Matthau,BD-R,DVD-R,DVD-Video,prospect preferred,Oscar (Best Supporting Actor),Oscar (Best Supporting Actor),Billy Wilder,comedy,fraud,insurance fraud,insurance fraud,Billy Wilder,Jack Lemmon"
4187,"farm life,nun,Oscar Nominee: Best Picture,Oscar Nominee: Best Picture 1963,Catholic,construction,desert,faith,nun,prayer,Sidney Poitier,Ralph Nelson,Sidney Poitier,BD-R,Religious,Oscar (Best Actor),Religious,Singing,AFI 100 (Cheers),Oscar (Best Actor),Oscar (Best Actor),Overrated,Sidney Poitier,60s,Catholic,Chapel,Construction,drinking,God provides,kindness,Religious,Singing,slow"
4188,"50s,writers,Charles Vidor,Danny Kaye,BD-R,a list,ballet,Danny Kaye,Hans Christian Andersen,historically inaccurate,unhistorical,ballet,biopic,Hans Christian Andersen"
4189,"biography,epic,jesus christ,christian,jesus,christian,jesus,christian,jesus,based on a book,Biblical,Christianity,Jesus Christ,religion,based on a book,Bible,Biblical,christian,Christianity,jesus,Jesus Christ,religion,christian,jesus,jesus,christian,jesus,christian,jesus,jesus,christian,jesus,christian,jesus,christian,jesus,70mm,BD-R,DVD-R,DVD-RAM,Ultra Panavision 70,christian,jesus,christian,jesus,Tumey's DVDs,Biblical,christian,jesus,jesus,jesus,bad acting,Christianity,Jesus Christ,long,religion,slow"
4190,"evangelist,revivalism,christianity,Oscar Nominee: Best Picture,Oscar Nominee: Best Picture 1960,revival,Richard Brooks,CLV,DVD-Video,better not see but not so bad after all,Oscar (Best Actor),Oscar (Best Supporting Actress),charlatan,complex,con man,corruption,evangelical,preacher,religion,revival,revivalism,swindler,christianity"
4191,"cult film,playboy,womanizer,Oscar Nominee: Best Picture,Oscar Nominee: Best Picture 1966,Lewis Gilbert,BD-R,amazon,bachelorhood,kitchen sink realism,swinging sixties"
4192,"gladiator,sword and sandal,Classical Studies,BD-R"
4193,"adapted from:play,circus,comedy,coming of age,fairy tale,funny,love story,musical"
4194,"atmospheric,gentle,JOURNEY OF SELF-DISCOVERY,lyrical,OPPOSITES ATTRACT,OTHERWISE ENGAGED,reflective,witty,wry,black and white,Emeric Pressburger,Michael Powell,Powell and Pressburger,Roger Livesy,Wendy Hiller,Criterion,Criterion,Emeric Pressburger,Michael Powell,BD-R,beautiful scenery,beautifully filmed,Emeric Pressburger,Michael Powell,Tumey's DVDs,Criterion,OPPOSITES ATTRACT"
4195,"Scary Movies To See on Halloween,biblical plagues,camp,dark comedy,doctor,dr. phibes,inspector,life and death,loss of loved one,mad doctor,mask,murder,mute,organ,organ player,pest,religion,revenge,scotland yard,wife,art deco,atmospheric,campy,cult classic,horror,over the top,revenge,Scary Movies To See on Halloween,Vincent Price,Violently silly,atmospheric,Bible,dead wife,plagues,revenge,Vincent Price,Violently silly,Robert Fuest,BD-R,CLV,DVD-R,DVD-RAM,campy,cult classic,horror,over the top,revenge,Vincent Price,art deco,revenge,Vincent Price,atmospheric,horror,revenge,serial killer,art deco,horror,serial killer,Vincent Price,Violently silly,Virginia North,doctors,atmospheric,serial killer,Vincent Price,revenge,Vincent Price,Vincent Price"
4196,"carnivorous plant,greenhouse,h.p. lovecraft,mutant,radioactive,H.P. Lovecraft,DVD-RAM,Boris Karloff,Freda Jackson,H.P. Lovecraft,mutation,scary,Suzan Farmer,H.P. Lovecraft,tivo20,Boris Karloff,Nick Adams,scary"
4197,"documentary filmmaking,dysfunctional family,television,Albert Brooks,BD-R"
4198,"clone,explosion,hitman,New World Pictures,outer space,robot,James Horner,80's,outer space,plot: Seven Samurai,Betamax,AI,aliens,B-Movie,Cast,Cheesy,clone,collective consciousness,cult movie,James Cameron,James Horner,John Saxon,makeup,mutants,outer space,plot: Seven Samurai,psychic,robot,Roger Corman,set design,SFX,soundtrack,space opera,space station,space trucker"
4199,"murder,prison,prisoner,Deran Sarafian,Jean-Claude Van Damme,Jean-Claude Van Damme"
4200,"fighter,hong kong,hoodlum,karate,loss of loved one,revenge,twins,martial arts,multiple roles,nudity (topless),revenge,siblings,twins,Jean-Claude Van Damme,Sheldon Lettich,Jean-Claude Van Damme"
4201,"dark comedy,BD-R,Betamax,bird sounds,dumb"
4202,blackmail
4203,"corruption,drug dealer,harley davidson,las vegas,los angeles,bikers,Don Johnson,Mickey Rourke,motorcycle,bikers,Buddy movie,crime,friendship,Mickey Rourke,understated,Buddy movie,Buddy movie,Buddy movie,Mickey Rourke,bikers,Don Johnson,friendship,Mickey Rourke,motorcycle,Tia Carrere,underrated,Don Johnson,Mickey Rourke,Tia Carrere,bikers,Buddy movie,friendship,motorcycle"
4204,"high school,locker room,mexico,prostitute,teenager,virginity"
4205,"1960s,aspiring nun,bell ringing,bell tower,dress,gynecological exam,jewish girl,kennedy assassination,polka dot,polka dot dress,roman catholic,shoe salesman,swimming,Michael Schoeffling,Bob Hoskins,Cher,Christina Ricci,Michael Schoeffling,Winona Ryder,mother daughter relationship,small town,teenager,coming of age,mother daughter relationship,Comedy,Drama,Romance,Bob Hoskins,Cher,Christina Ricci,Winona Ryder,Bob Hoskins,Rhode Island"
4206,"suspense,whodunit,Caribbean,Jamaica,Latin America,police,amazon,hitz,prospect preferred"
4207,"military,Beirut,military,SEAL,Beirut,Chuck Pfarrer,SEAL,Can't remember,great action,nostalgia"
4208,"Florida Film Festival Winner,Florida Film Festival Winner Best Narrative Feature Grand Jury Prize 1998"
4209,"biography,drugs,emilio estevez,porn industry"
4210,"serial killer,creepy,CRIMINAL'S REVENGE,DISFIGURED CRIMINALS,disturbing,menacing,MURDER INVESTIGATIONS,ominous,SERIAL KILLERS,stylized,tense,visceral,1980s,covered investigation,crime scene,eye,fbi agent,fbi profiler,full moon,investigation,journalist,loss of loved one,neo-noir,psychological horror,psychopath,serial killer,videotape,Acting,Background Music,based on a book,FBI,Hannibal Lecter,remade,serial killer,Background Music,based on a book,Hannibal Lecter,serial killer,visually appealing,atmospheric,based on a book,detectives,disturbing,FBI,Hannibal Lecter,menacing,MURDER INVESTIGATIONS,ominous,remade,serial killer,SERIAL KILLERS,stylized,tense,visually appealing,serial killer,tense,Thriller,atmospheric,Bechdel Test:Fail,Hannibal Lecter,Michael Mann,MURDER INVESTIGATIONS,ominous,remade,serial killer,stylized,tense,visual,visually appealing,based on a book,MURDER INVESTIGATIONS,SERIAL KILLERS,Michael Mann,murder,serial killer,atmospheric,bad third act,blindness,detectives,disfigurement,Florida,homophobia,investigation,Joan Allen,male nudity,manipulation,overdramatic,serial killer,soliliquy,Stephen Lang,Thomas Harris,Tom Noonan,William Petersen,70mm,CLV,Super-35 Blow-Up,Ei muista,stunning cinematograhy,visually appealing,Hannibal Lecter,Hannibal Lecter,serial killer,William Petersen,detectives,Hannibal Lecter,serial killer,michael mann,outdated,Hannibal Lecter Series,Dark,Hannibal Lecter,Acting,Background Music,michael mann,MURDER INVESTIGATIONS,ominous,serial killer,Thriller,William Petersen"
4211,"Jeremy Irons,based on memoir or autobiography,based on non fiction book,biography,coma,diabetes,law student,lawyer,murder,socialite,based on a true story,murder,courtroom,Barbet Schroeder,based on a true story,courtroom,murder,CLV,aristocracy,over the top,Oscar (Best Actor),aristocracy,murder,Rhode Island"
